008c22318c8ea65928bf730ddd0273e3,BSD-3-Clause
02d4002e9171d41a8fad93aa7faf3956,BSD-3-Clause
0636e73ff0215e8d672dc4c32c317bb3,GPL-2.0-only
063b5c3ebb5f3aa4c85a2ed18a31fbe7,GPL-2.0-only
0a97f8e4cbaf889d6fa51f84b89a79f6,ISC
0c241922fc69330e2e5590de114f3bf5,BSD-3-Clause
0ceb9ff3b27d3a8cf451ca3785d73c71,MIT
0dd48ae8103725bd7b401261520cdfbb,BSD-3-Clause
0e46634a01bfef056892949acaea85b1,BSD-3-Clause
1034431802e57486b393d00c5d262b8a,Apache-2.0
12f884d2ae1ff87c09e5b7ccc2c4ca7e,GPL-2.0-only
18810669f13b87348459e611d31ab760,GPL-2.0-only
19cbd64715b51267a47bf3750cc6a8a5,Apache-2.0
201414b6610203caed355323b1ab3116,BSD-3-Clause
252890d9eee26aab7b432e8b8a616475,LGPL-2.0-only
2b8c039b2b9a25f0feb4410c4542d346,BSD-2-Clause
2d1c30374313ae40df7772dc92ef9fd5,GPL-3.0-only
2d5025d4aa3495befef8f17206a5b0a1,LGPL-2.1-only
3214f080875748938ba060314b4f727d,LGPL-2.0-only
37acb030ba070680be4a9fcb57f2735a,MIT
385c55653886acac3821999a3ccd17b3,Artistic-1.0 | GPL-2.0-only
38be95f95200434dc208e2ee3dab5081,BSD-3-Clause
393a5ca445f6965873eca0259a17f833,GPL-2.0-only
3b83ef96387f14655fc854ddc3c6bd57,Apache-2.0
3bf50002aefd002f49e7bb854063f7e7,LGPL-2.0-only
3c91c17266710e16afdbb2b6d15c761c,Apache-2.0
3debde09238a8c8e1f6a847e1ec9055b,LGPL-2.1-only
4325afd396febcb659c36b49533135d4,GPL-2.0-only
4c641f2d995c47f5cb08bdb4b5b6ea05,BSD-2-Clause
4e2a8d8f9935d6a766a5879a77ddc24d,Apache-2.0
4ee4feb2b545c2231749e5c54ace343e,BSD-3-Clause
4efd8bdbab9cff00dcd75f2c3ee4e190,BSD-2-Clause
4fbd65380cdd255951079008b364516c,LGPL-2.1-only
50fab24ce589d69af8964fdbfe414c60,BSD-2-Clause
54c7042be62e169199200bc6477f04d1,BSD-3-Clause
55ca817ccb7d5b5b66355690e9abc605,LGPL-2.0-only
59530bdf33659b29e73d4adb9f9f6552,GPL-2.0-only
5d4950ecb7b26d2c5e4e7b4e0dd74707,BSD-3-Clause
5f30f0716dfdd0d91eb439ebec522ec2,LGPL-2.0-only
6551d79bf661eed41a50157513ee4ad6,BSD-3-Clause
